hex_id,n_tiles,mean_err,std_err,hex_area_m2,N_total_tiles,se_mean,ci_lo_mean,ci_hi_mean,total_err_est,se_total_est,ci_lo_total,ci_hi_total
226,1,0.0,,649519.053,65,,,,0.0,,,
227,0,,,649519.053,65,,,,,,,
228,1,-4.0,,649519.053,65,,,,-260.0,,,
229,0,,,649519.053,65,,,,,,,
230,3,1.0,1.0,649519.053,65,0.577,-0.132,2.132,65.0,37.528,-8.554,138.554
231,1,0.0,,649519.053,65,,,,0.0,,,
232,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
234,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
235,1,1.0,,649519.053,65,,,,65.0,,,
236,1,0.0,,649519.053,65,,,,0.0,,,
237,1,0.0,,649519.053,65,,,,0.0,,,
238,0,,,649519.053,65,,,,,,,
239,1,2.0,,649519.053,65,,,,130.0,,,
240,0,,,649519.053,65,,,,,,,
241,0,,,649519.053,65,,,,,,,
242,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2,-0.5,0.707,649519.053,65,0.5,-1.48,0.48,-32.5,32.5,-96.2,31.2
246,1,-3.0,,649519.053,65,,,,-195.0,,,
247,1,-16.0,,649519.053,65,,,,-1040.0,,,
248,4,-20.25,24.295,649519.053,65,12.148,-44.059,3.559,-1316.25,789.589,-2863.845,231.345
249,4,-5.0,9.416,649519.053,65,4.708,-14.228,4.228,-325.0,306.03,-924.818,274.818
250,0,,,649519.053,65,,,,,,,
251,1,0.0,,649519.053,65,,,,0.0,,,
252,1,1.0,,649519.053,65,,,,65.0,,,
253,1,0.0,,649519.053,65,,,,0.0,,,
254,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,2,2.0,2.828,649519.053,65,2.0,-1.92,5.92,130.0,130.0,-124.8,384.8
256,0,,,649519.053,65,,,,,,,
257,1,1.0,,649519.053,65,,,,65.0,,,
258,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
259,0,,,649519.053,65,,,,,,,
260,0,,,649519.053,65,,,,,,,
261,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
262,0,,,649519.053,65,,,,,,,
263,1,1.0,,649519.053,65,,,,65.0,,,
264,0,,,649519.053,65,,,,,,,
265,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
266,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,3,-6.667,11.547,649519.053,65,6.667,-19.733,6.4,-433.333,433.333,-1282.667,416.0
268,1,-6.0,,649519.053,65,,,,-390.0,,,
269,1,6.0,,649519.053,65,,,,390.0,,,
270,1,0.0,,649519.053,65,,,,0.0,,,
271,0,,,649519.053,65,,,,,,,
272,0,,,649519.053,65,,,,,,,
273,1,0.0,,649519.053,65,,,,0.0,,,
274,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
275,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
276,2,1.5,0.707,649519.053,65,0.5,0.52,2.48,97.5,32.5,33.8,161.2
277,1,2.0,,649519.053,65,,,,130.0,,,
278,0,,,649519.053,65,,,,,,,
279,3,1.333,0.577,649519.053,65,0.333,0.68,1.987,86.667,21.667,44.2,129.133
280,4,0.75,0.957,649519.053,65,0.479,-0.188,1.688,48.75,31.116,-12.238,109.738
281,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1,0.0,,649519.053,65,,,,0.0,,,
284,1,1.0,,649519.053,65,,,,65.0,,,
285,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
288,2,1.0,0.0,649519.053,65,0.0,1.0,1.0,65.0,0.0,65.0,65.0
289,0,,,649519.053,65,,,,,,,
290,3,1.333,2.309,649519.053,65,1.333,-1.28,3.947,86.667,86.667,-83.2,256.533
291,2,-5.0,1.414,649519.053,65,1.0,-6.96,-3.04,-325.0,65.0,-452.4,-197.6
292,3,-9.0,7.81,649519.053,65,4.509,-17.838,-0.162,-585.0,293.101,-1159.478,-10.522
293,1,1.0,,649519.053,65,,,,65.0,,,
294,0,,,649519.053,65,,,,,,,
295,1,0.0,,649519.053,65,,,,0.0,,,
296,0,,,649519.053,65,,,,,,,
297,1,0.0,,649519.053,65,,,,0.0,,,
298,0,,,649519.053,65,,,,,,,
299,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
301,0,,,649519.053,65,,,,,,,
302,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0,,,649519.053,65,,,,,,,
305,1,0.0,,649519.053,65,,,,0.0,,,
306,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
309,2,-5.5,7.778,649519.053,65,5.5,-16.28,5.28,-357.5,357.5,-1058.2,343.2
310,1,0.0,,649519.053,65,,,,0.0,,,
311,4,-0.25,0.5,649519.053,65,0.25,-0.74,0.24,-16.25,16.25,-48.1,15.6
312,4,-11.25,20.807,649519.053,65,10.403,-31.641,9.141,-731.25,676.216,-2056.634,594.134
313,1,-31.0,,649519.053,65,,,,-2015.0,,,
314,5,-11.4,11.149,649519.053,65,4.986,-21.173,-1.627,-741.0,324.089,-1376.214,-105.786
315,1,1.0,,649519.053,65,,,,65.0,,,
316,0,,,649519.053,65,,,,,,,
317,0,,,649519.053,65,,,,,,,
318,0,,,649519.053,65,,,,,,,
319,1,0.0,,649519.053,65,,,,0.0,,,
320,5,0.4,0.894,649519.053,65,0.4,-0.384,1.184,26.0,26.0,-24.96,76.96
321,0,,,649519.053,65,,,,,,,
322,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,1,0.0,,649519.053,65,,,,0.0,,,
324,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,1,0.0,,649519.053,65,,,,0.0,,,
326,1,0.0,,649519.053,65,,,,0.0,,,
327,1,0.0,,649519.053,65,,,,0.0,,,
328,0,,,649519.053,65,,,,,,,
329,0,,,649519.053,65,,,,,,,
330,0,,,649519.053,65,,,,,,,
331,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,5,-5.8,12.969,649519.053,65,5.8,-17.168,5.568,-377.0,377.0,-1115.92,361.92
333,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
334,2,-4.5,6.364,649519.053,65,4.5,-13.32,4.32,-292.5,292.5,-865.8,280.8
335,2,-0.5,0.707,649519.053,65,0.5,-1.48,0.48,-32.5,32.5,-96.2,31.2
336,1,-3.0,,649519.053,65,,,,-195.0,,,
337,1,-10.0,,649519.053,65,,,,-650.0,,,
338,1,-38.0,,649519.053,65,,,,-2470.0,,,
339,0,,,649519.053,65,,,,,,,
340,0,,,649519.053,65,,,,,,,
341,0,,,649519.053,65,,,,,,,
342,0,,,649519.053,65,,,,,,,
343,0,,,649519.053,65,,,,,,,
344,0,,,649519.053,65,,,,,,,
